team,id,name,position,jersey,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs
Ole Miss,6a882206-51b7-420a-b900-1eb1a1f6376b,Casey Kelly,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,17.0,5.667,13.0,1.0,1.0,17.0,3.0,0.0,1.0
Ole Miss,6ac8201d-b9c1-4fec-bd5a-eb730f59b87e,Jalen Knox,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,6b9f20d7-1973-48b9-889c-6c0931921fe3,Fred McAfee,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,6d1fe680-daac-11ec-9fbe-d764b66afc75,Hayden Farrar,WR,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,71f14f40-daad-11ec-9fbe-d764b66afc75,Salathiel Hemphill,TE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,72304b70-4838-4c35-82ad-aecc12dd7fef,Jamond Gordon,DT,,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,726066e0-0772-11ed-9d37-15b02999c0f4,Landon Thomason,TE,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,73669313-e37e-4e94-81d5-891674b8e966,J.J. Henry,WR,4,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,30.0,21.0,0.0,0.0,2.0,-2.0,1.0,,,,,,,,,,,,,,,,,,5.0,12.0,56.0,11.2,22.0,0.0,0.0,58.0,0.0,-2.0,3.0
Ole Miss,7480c414-4538-42fc-8830-8ac69a713645,Deantre Prince,CB,,28.0,10.0,38.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,77066866-7111-4e22-9e46-27a4835a79e2,Hamilton Hall,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,7783bc30-863a-11ec-ac3f-2f01cb0af5e4,Davison Igbinosun,CB,,23.0,12.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,79877855-d615-4777-baeb-0ed95d2021fc,Jakivuan Brown,DE,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,7f4997b0-8639-11ec-ac3f-2f01cb0af5e4,Taylor Groves,SAF,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,80ccf1bb-0e6c-423d-aab4-ef2ff2c8e6b2,Dayton Wade,WR,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.667,9.0,0.0,78.0,36.0,0.0,0.0,1.0,-2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,309.0,11.444,39.0,3.0,35.0,309.0,6.0,0.0,13.0
Ole Miss,81f1c9c0-8638-11ec-ac3f-2f01cb0af5e4,Nick Cull,SAF,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,87c3d653-a908-4a44-85e5-6403f1612097,Otis Reese,SAF,0,33.0,35.0,68.0,3.0,23.0,1.0,2.0,0.0,1.0,4.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,87dd4e80-0771-11ed-a794-5fe916135ce6,Trace Campbell,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,89bddf83-7c6e-45f3-9529-0e7936b4bd35,Austin Keys,LB,6,14.0,19.0,33.0,2.0,12.0,0.0,0.0,1.0,0.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8abbbc2c-acd1-4331-86df-6b5c2dd2e75a,Kentrel Bullock,RB,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8daf0263-24c2-4a17-8d5c-e48ba49cfb75,Jordan Watkins,WR,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.0,0.0,-3.0,0.0,0.0,1.0,1.0,-3.0,0.0,1.0,1.0,100.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,133.6,0.0,0.0,0.0,4.0,0.0,0.0,40.0,57.0,449.0,11.225,61.0,2.0,61.0,449.0,9.0,0.0,19.0
Ole Miss,8dc5db62-9f46-42fb-b83a-d0cfeaa376d8,Tavius Robinson,DE,95,17.0,23.0,40.0,7.0,56.5,0.0,0.0,5.0,2.0,9.0,3.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,8fc0d27c-41fc-46f1-937b-2f6b6f99dbb2,Erick Cade,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,95e1f900-234a-11ed-8e1e-812349f8e9b9,Charlie Pollock,P,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,97abd62a-997e-4354-86e3-9d522415e2ca,Daniel Newman,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9d4aad26-d573-4a4f-9315-e2b5d5055df3,Brandon Mack II,LB,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9e526500-234c-11ed-8e1e-812349f8e9b9,Christian Schanefelt,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,9f8b8c42-d514-4728-b42d-1dcf18c3e30e,Elijah Sabbatini,SAF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,a0bf4610-daad-11ec-9fbe-d764b66afc75,Matt Ware,TE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
