id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,defense_sp_own_fumble_recoveries,defense_sp_opp_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
15e0bf30-a274-11ed-8f2b-f3e5e15ec7fb,Chase Bisontis,OL,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17d101a5-059e-4b18-9ceb-ae2ef3eff4b2,Fadil Diggs,DE,,,,,,,,,,,,,22.0,14.0,36.0,4.0,27.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19e79cdd-c772-4b21-b4b4-a42b95eb55af,John Sabra,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f416e10-8512-11ec-99e6-19cade85298b,Conner Weigman,QB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,12.0,2.0,63.0,19.0,19.0,4.0,0.0,0.0,5.0,119.0,82.0,68.908,979.0,8.227,4.0,20.0,8.0,44.0,2.0,156.84,35.0,5.0,29.0,979.0,43.0,0.0
20d0f4fe-6b8b-4010-9f36-5a4e123aaf31,Israel Benjamin,RB,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100cca0-313d-11ed-bfcf-65eaff9f277b,Nathan Figueroa,TE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171c2f0-850f-11ec-b84d-a909c14fc4b8,Jacoby Mathews,DB,,,,,,,,,,,,,29.0,10.0,39.0,0.5,3.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
297c78d0-a275-11ed-8f2b-f3e5e15ec7fb,Colton Thomasson,OL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a00a31b-02d5-412a-a4c2-00f9787f302c,Truette Tumey,P,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d719740-8511-11ec-9a71-73254de4b571,Shemar Stewart,DE,,,,,,,,,,,,,5.0,6.0,11.0,1.5,5.5,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
340e0c90-a276-11ed-8f2b-f3e5e15ec7fb,Naquil Betrand,OL,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34621b70-323e-11ee-a1c6-9795b109af6a,Jahdae Walker,WR,9,35.0,60.0,590.0,16.857,40.0,2.0,12.0,590.0,10.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35d31042-15bc-47d1-8f13-f1afa0703a5a,Fernando Garza III,TE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618ffeb-0200-4d93-a2f4-33fe6fba64bf,Aki Ogunbiyi,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a187c0-f030-11ed-8095-ff92e6250fed,Zachary Clay,TE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38f271aa-04ce-4349-b6de-883842654e75,Demani Richardson,DB,,,,,,,,,,,,,43.0,15.0,58.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3928fe55-6218-4931-9a86-6a8dcfecee1e,Max Wright,TE,,19.0,26.0,247.0,13.0,51.0,1.0,51.0,247.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39fef670-a274-11ed-8f2b-f3e5e15ec7fb,Jayvon Thomas,DB,14,,,,,,,,,,,,9.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f25de20-8510-11ec-b84d-a909c14fc4b8,Theo Melin Ohrstrom,TE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406b7066-d677-4a0f-b28e-172a6189f8e2,Finn Dirstine,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411fc440-850e-11ec-b84d-a909c14fc4b8,Jarred Kerr,DB,33,,,,,,,,,,,,11.0,6.0,17.0,1.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43967bb0-37c3-11ee-8aad-e574e8ef7217,Tommy Colligan,LB,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44e11990-37c2-11ee-8aad-e574e8ef7217,Ty Banco,OL,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477bb00d-1633-4049-a0f9-7f67f61c96fd,Moose Muhammad III,WR,,27.0,39.0,345.0,12.778,49.0,2.0,49.0,345.0,3.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
