team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Texas A&M,831e3972-ec54-4495-a205-480c4c2c243f,Chase Lane,WR,7,7.0,17.0,76.0,10.857,25.0,0.0,0.0,76.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,83cf4560-8511-11ec-874b-9d917cd60972,Malick Sylla,DL,92,,,,,,,,,,,,2.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,83fb6900-8512-11ec-99e6-19cade85298b,PJ Williams,OL,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,861314d1-cfa7-4448-9ec1-bd9df18a9576,Marcus Burris Jr.,DL,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,87ca7690-850b-11ec-b446-1b024413db39,Smoke Bouie,DB,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,888c5326-c225-4b73-a61e-b187ba16557f,Devon Achane,RB,0,36.0,48.0,196.0,5.444,25.0,3.0,25.0,197.0,6.0,-1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,5.622,196.0,8.0,1102.0,65.0,26.0,37.0,22.0,-47.0,59.0,,,,,,,,,,,,,,,,,
Texas A&M,88c5203a-4f9c-4fce-9890-3103d9ea94b3,Kason Tullos,LB,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8a3f7b5c-95d9-4689-9a0b-281beaa35488,Cade Garcia,DB,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8b83aaea-9a5d-448e-b776-1bca1e229e94,Dametrious Crownover,OL,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8b88defe-6916-4adf-9927-21efae3df849,Tunmise Adeleye,DE,,,,,,,,,,,,,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,8ee02562-28be-4533-91f6-9692de970893,Amari Daniels,RB,5,2.0,3.0,1.0,0.5,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.556,36.0,0.0,200.0,38.0,0.0,4.0,3.0,-6.0,9.0,,,,,,,,,,,,,,,,,
Texas A&M,8efe5ae0-141b-11ed-8f55-53b238da45a2,Drew Beltran,DL,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,908e4f62-c884-4680-8c54-3faa41c56203,Yulkeith Brown,WR,,6.0,9.0,112.0,18.667,66.0,1.0,66.0,112.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,90d7b440-850c-11ec-b446-1b024413db39,Hunter Erb,OL,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Albert Regis,DL,17,,,,,,,,,,,,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,9907bbe0-850e-11ec-b84d-a909c14fc4b8,Chris Marshall,WR,5,11.0,17.0,108.0,9.818,18.0,0.0,0.0,108.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,9a6337c0-850f-11ec-b84d-a909c14fc4b8,Le'Veon Moss,RB,8,1.0,2.0,8.0,8.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222,27.0,1.0,114.0,23.0,12.0,6.0,2.0,-7.0,5.0,,,,,,,,,,,,,,,,,
Texas A&M,9afd1730-313c-11ed-bfcf-65eaff9f277b,Jacob Brasher,WR,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,a00034af-67a6-4a09-995c-6fa8ef2665a0,Isaiah Raikes,DL,22,,,,,,,,,,,,4.0,6.0,10.0,0.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,a1e00c7d-19ec-4a70-9824-92a55975bbb4,Max Johnson,QB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,29.0,0.0,58.0,18.0,0.0,2.0,1.0,-2.0,4.0,71.0,43.0,60.563,517.0,7.282,10.0,64.0,3.0,36.0,0.0,135.67,25.0,-1.0,8.0,517.0,23.0,0.0
Texas A&M,a575dbaa-6ecd-4d8d-804a-6e7036669f37,Blake Bost,QB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
